subset,constant_d4rt_apd,opend4rt_apd,constant_d4rt_epe,opend4rt_epe,constant_d4rt_fps,opend4rt_fps,constant_d4rt_peak_gib,opend4rt_peak_gib,queries
adt_mini,0.523586289741306,0.7228677669209892,0.5143926642302287,0.25746967573178764,160.2955907935444,64.86955956511969,4.623749732971191,7.013909339904785,2305
po_mini,0.22647536273163876,0.5781594981317935,1.1897298882262997,0.42236095964107057,175.75663931050562,65.99516187037398,4.623749732971191,7.013909339904785,2511
pstudio_mini,0.5124997446600156,0.7682135891638733,0.4643359724006406,0.19983768656185313,165.53098019200843,68.06268168369596,4.623749732971191,7.013909339904785,1842
ds_mini,0.44845123291015626,0.7198486328125,0.683650164675344,0.37475781146193854,175.3082219888052,66.86909555433718,4.623749732971191,7.013909339904785,2560
overall,0.42446800756671726,0.6950429865480582,0.7313590105074036,0.3211133104260569,165.83942781709845,65.95968341573638,4.623749732971191,7.013909339904785,9218
